class;term;comment
process;multiplet tectonic earthquake;A tectonic earthquake which has two or more mainshocks of similar magnitude, and which originate from the same fracture zone and stress field.
material entity;ravine;A ravine is a small, narrow, steep-sided valley that is larger than a gully and smaller than a canyon and that is usually worn by running water.
fiat object;subsurface zone of an astronomical body;An environmental zone which includes those regions of an astronomical body which are not exposed to its atmosphere or space.
material entity;roadside;An environmental zone of varying area which is adjacent to a road.
process;intraplate earthquake;A tectonic earthquake which occurs within the interior parts of a tectonic plate.
material entity;mixed grassland;A grassland which contains a mixture of tall and short grasses.
process;interplate earthquake;A tectonic earthquake which occurs at the boundary between two tectonic plates.
material entity;andesite;Andesite is an extrusive igneous, volcanic rock, of intermediate composition, with aphanitic to porphyritic texture.
material entity;thrust fault;A fault across which older rocks are pushed above (away from the core of an astronomical body) younger rocks.
material entity;dacite;Dacite is an igneous, volcanic rock. It has an aphanitic to porphyritic texture and is intermediate in composition between andesite and rhyolite. Dacite consists mostly of plagioclase feldspar with biotite, hornblende, and pyroxene (augite and/or enstatite). It has quartz as rounded, corroded phenocrysts, or as an element of the ground-mass. The plagioclase ranges from oligoclase to andesine and labradorite. Sanidine occurs, although in small proportions, in some dacites, and when abundant gives rise to rocks that form transitions to the rhyolites.
process;aftershock;A tectonic earthquake which 1) is embedded in a series of tectonic earthquakes, linked to the same release of energy in the crust and 2) occurs after the mainshock.
material entity;salt mass;An accumulation of a salt, typically sodium chloride.
material entity;blind thrust fault;A thrust fault which does not breach the surface of an astronomical body.
material entity;dacitic lava;Lava which is high in silica and low in alkali metal oxides.
process;blind thrust earthquake;A tectonic earthquake which occurs along a thrust fault which does not breach the surface of an astronomical body.
material entity;wet meadow ecosystem;A wet meadow is a type of wetland with soils that are saturated with water for part or all of the growing season.
material entity;desert ecosystem;An ecosystem in which the composition, structure, and function of resident ecological assemblages are primarily determined by a desert.
material entity;salt glacier;A mass of salt which has erupted onto a planetary surface, usually through sedimentary rock.
material entity;landmass;A large continuous area of land, either surrounded by sea or contiguous with another landmass.
material entity;atmospheric carbon dioxide;Atmospheric carbon dioxide is an environmental material composed of carbon dioxide in its gaseous form present in an atmosphere.
material entity;part of a landmass;A solid astronomical body part which is part of the landmass of that body.
material entity;sclerophyllous forest;
process;collapse-driven seismic vibration;A seismic vibration process which is caused by the collapose of a material entity, sending kinetic energy into astronomical body.
material entity;montane forest;
process;mass-wasting-driven seismic vibration;A seismic vibration process which is caused by mass wasting.
material entity;waterborne particulate matter;Particulate environmental material in which small portions of solid material are surrounded by water.
process;cave collapse;A structural collapse process during which the walls of cave are unable to support the load placed upon them.
material entity;lava field;A lava field is an expanse of flat-lying lava flows. Such features are generally composed of highly fluid basalt lava, and can extend for tens or even hundreds of miles across the underlying terrain.
process;structural collapse process;A process during which the ability of a material entity to maintain its internal organisation fails, resulting in deformation and a breakdown of that organisation.
material entity;broadleaf forest;A forest biome which contains densely packed populations or communities of broadleaf trees, strongly limiting light penetration to the forest floor.
process;impact-driven seismic vibration;A seismic vibration process which is caused by the impact of a solid object on the surface of an astronomical body.
material entity;mixed forest;A forest ecosystem which contains densely packed populations or communities of broadleaf and coniferous trees, strongly limiting light penetration to the forest floor.
process;volcanic seismic vibration;A seismic vibration process which is caused by a volcanic eruption.
material entity;swamp forest;
process;explosion-driven seismic vibration;A seismic vibration process which is caused by an explosion.
material entity;needleleaf forest;
process;impact event;An impact event is a collision between material entities, resulting in changes in one or both of those entities.
material entity;lava flow;A lava flow is a moving outpouring of lava, which is created during a non-explosive effusive eruption.
material entity;andesitic volcano;A volcano which has been formed as a result of the eruption of andesitic lava.
process;earthquake-driven seismic vibration;A seismic vibration process which is caused by an earthquake.
process;mainshock;A tectonic earthquake which 1) is embedded in a series of tectonic earthquakes, linked to the same release of energy in the crust and 2) has the largest magnitude of the series.
material entity;dacitic volcano;A volcano which has been formed as a result of the eruption of dacitic lava.
process;foreshock;A tectonic earthquake which precedes the strongest tectonic earthquake in a series, linked to the same release of energy in the crust.
material entity;living room;A living room is a room in a human house which is used for social and domestic leisure activities.
process;macroburst;A downburst during which high winds occur over an area larger than four kilometres in diameter.
material entity;patio;A patio is a paved outdoor area, adjacent to a human house, and used for dining or recreation.
process;microburst;A downburst during which high winds occur over an area less than four kilometres in diameter.
material entity;indoor toilet;An indoor toilet is a room which contains a sanitation fixture used primarily for the disposal of human urine and faeces.
process;dry microburst;A microburst during which no or very little rain is generated.
material entity;room;A building part which is separated from other building parts by one or more interior walls and, optionally, outdoor areas by one or more exterior walls.
process;wet microburst;A microburst during which large amounts of rain are generated.
process;downburst;A downdraft which is of high intensity and which spreads radially, with high speed, across the planetary surface upon reaching it.
material entity;building part;A building part is a construction which is part of a building.
process;straight-line wind;A wind storm during which strong gusts of wind occur, transporting atmospheric gas in a linear fashion.
material entity;indoor kitchen;An indoor kitchen is a room or part of a room primarily used for cooking or food preparation, but which may have other funcitons such as dining, food storage, dishwashing, or laundry.
process;wet macroburst;A macroburst during which large amounts of rain are generated.
material entity;bathroom;A bathroom is a room which contains a washbasin or other fixture, such as a shower or bath, used for bathing by humans.
process;dry macroburst;A macroburst during which no or very little rain is generated.
material entity;carbon nanotube enriched soil;A portion of carbon nanotube enriched soil is a portion of soil with elevated levels of carbon nanotubes.
process;vibration process;A material transport process during which parts of an elastic material oscillate around their positions of equilibrium.
material entity;area of rocky shore;A rocky shore is an intertidal area of a seacoast where solid rock is the predominant substrate.
process;downdraft;A katabatic wind which is sudden and strong.
material entity;burrow;A burrow is a hole or tunnel excavated into the ground by an animal to create a space suitable for habitation, temporary refuge, or as a byproduct of locomotion
process;seismic vibration process;A vibration process which occurs in the solid parts of an astronomical body as low-frequency acoustic waves pass through them.
material entity;circalittoral zone;A zone which is part of the sublittoral zone and is dominated by sessile animals such as oysters. This zone usually begins at a depth greater than the infralittoral zone.
process;drainage wind;A downslope katabatic wind which is generated by the cooling of atmospheric gas in contact with terrain surfaces.
material entity;old plant;A whole plant which is relatively old
material entity;plume;A fluid astronomical body part which is plume shaped.
material entity;young plant;A whole plant which is relatively young.
process;glacier wind;A drainage wind which flows along the icy surface of a glacier.
material entity;fine respirable suspended particulate matter;A portion of fine respirable suspended particulate matter is a form of particulate matter composed primarily of solid particles each with a diameter of 2.5 micrometers or less.
material entity;quasi-stationary front;A front which shows very little mobility.
process;warming of a gas;A process of warming a fluid during which the thermal energy in a volume of gas increases.
material entity;marine eulittoral zone;The eulittoral zone extends from the spring high tide line, which is rarely inundated, to the spring low tide line, which is rarely not inundated. The wave action and turbulence of recurring tides shapes and reforms cliffs, gaps, and caves, offering a huge range of habitats for sedentary organisms.
process;warming of a solid;A material warming process during which the thermal energy in a mass of solid material increases.
material entity;infralittoral zone;A zone which is part of the sublittoral zone and is dominated by algae. This zone usually extends up to five metres below the low water mark.
process;warming of a liquid;A process of warming a fluid which includes a volume of liquid as a participant.
material entity;ultrafine respirable suspended particulate matter;A portion of fine respirable suspended particulate matter is a form of particulate matter composed primarily of solid particles each with a diameter of 100 nanometers or less.
process;cyclonic circulation;A mass fluid flow which moves in the same direction as a planet's rotation, rotating due to a Coriolis effect.
material entity;house;A house is a building that provides a dwelling-place for a living entity.
process;mass fluid flow;An advective transport process during which a fluid moves.
material entity;human house;
material entity;domestic garden;A garden that is associated with a human house. This association is generally one of spatial proximity or parthood.
process;wind storm;An atmospheric storm during which winds flow with increased rates.
material entity;concrete building floor;A concrete building floor is a building floor that is composed primarily of concrete
material entity;ocean basin;A structural basin that is below sea level.
material entity;quartz glass;Quartz glass is a glass which is composed of silica in amorphous (non-crystalline) form.
material entity;building floor;A building floor is a surface layer which is part of a building and used for walking.
material entity;brick building floor;A brick building floor is a building floor that is composed primarily of brick material or is built from bricks.
material entity;wooden building floor;A wooden building floor is a building floor that is composed primarily of wood.
material entity;dung building floor;A dung building floor is a building floor which is composed primarily of dried animal feces.
material entity;stone building floor;A stone building floor is a building floor that is composed primarily of rock.
material entity;thatched exterior wall;A thatched exterior wall is an exterior wall that is composed primarily of thatch.
material entity;stone exterior wall;A stone exterior wall is an exterior wall that is composed primarily of rock.
material entity;sandy building floor;A sandy building floor is a building floor that is composed primarily of sand.
material entity;glass building floor;A glass building floor is a building floor which is composed primarily of glass.
material entity;cement plaster;
material entity;lime plaster;Lime plaster is a plaster which is primarily composed of calcium hydroxide and an inert filler (such as sand). Coversion of the calcium hydroxide to calcium carbonate through a reaction with carbon dioxide in the air causes the plaster to set.
material entity;brick material;A portion of brick material is a material derived from a brick which is composed of kneaded clay-bearing soil, expanded clay aggregate, sand and lime, or concrete that has been fire-hardened or air-dried.
material entity;brick;A brick is a masonry unit which is composed of kneaded clay-bearing soil, expanded clay aggregate, sand and lime, or concrete material, fire-hardened or air-dried.
material entity;plaster;Plaster is a building material which has the disposition to harden when it reacts with water, liberating heat through crystallization. Plaster is manufactured as a dry powder and is mixed with water to form a paste when used.
material entity;gypsum plaster;Gypsum plaster is a plaster which is formed by partially dehydrating gypsum by heating it to approximately 150 degrees Celsius and grinding the product into a powder. Gypsum anhydride - formed by heating gypsum above 200 degrees Celsius - may also be used as plaster.
quality;soil bulk density;A volumetric density quality which inheres in soil by virtue of some influence exerted by the soil's mass on a given volume.
material entity;silica-based glass;Silica-based glass is a glass composed primarily of silicon dioxide, the primary constituent of sand.
material entity;soda-lime glass;Soda-lime glass is a silica-based glass which is composed of approximately 75% silicon dioxide, with sodium oxide and calcium oxide consituting most of its remaining composition.
material entity;flat glass;Flat glass is a soda-lime glass which is composed of approximately 73% silicon dioxide (silica), 14% sodium oxide, 9% calcium oxide, 4% magnesium oxide, 0.15% aluminium oxide, 0.03% potassium oxide, 0.02% titanum dioxide, and 0.01% iron III oxide.
material entity;container glass;Container glass is a soda-lime glass which is composed of approximately 74% silicon dioxide (silica), 13% sodium oxide, 10.5% calcium oxide, 1.3% aluminium oxide, 0.3% potassium oxide, 0.2% sulphur trioxide, 0.2% magnesium oxide, 0.04% iron III oxide, and 0.01% titanum dioxide.
material entity;glass;Glass is an amorphous (non-crystalline) solid which is often transparent.
material entity;constructed barrier;A constructed barrier is a freestanding wall, berm, or fence built to limit movement of entities across a boundary.
material entity;tropical dry broadleaf forest;A tropical broadleaf forest which 1) s subject to a year-round warm climate 2) may receive several hundred centimeters or rain per year and 3) are subject to long dry seasons which last several months.
material entity;fence;A fence is a constructed barrier which is generally of lighter construction than a wall and used to provide visual sectioning of spaces.
material entity;tropical mixed forest biome;A tropical mixed forest in which dominant ecological communities have reached their climax successional state.
material entity;exterior wall;An exterior wall is a building wall which separates the interior of a building from the buildings surrounding environment.
material entity;hydraulic cement;Hydraulic cement is a masonry cement which contains activated aluminium silicates or pozzolans, such as fly ash, allowing it to set in wet conditions or underwater.
process;ecosystem process;An environmental process either driven by or primarily impacting the parts or emergent properties of an ecosystem.
material entity;non-hydraulic cement;Non-hydraulic cement is a cement which sets by reacting with carbon dioxide in the air and will not set in wet conditions or underwater. It is susceptible to attack by aggresive chemicals after setting.
material entity;temperate broadleaf forest;A broadleaf forest which is subject to temperate climate conditions.
material entity;building wall;Building walls are bulding parts which serve to support roofs, floors and ceilings. enclose a space as part of the building envelope. give buildings form. and to provide shelter and security.
material entity;tropical mixed forest;A mixed forest which is subject to tropical climatic conditions.
material entity;boundary wall;A boundary wall is a constructed barrier which is usually opaque, constructed from masonry, and of greater structural strength than a fence.
material entity;temperate mixed forest;A mixed forest which is subject to temperate climatic conditions.
material entity;dry stream valley;A dry valley which was formed as a result of erosion due to stream formation and flow.
material entity;building envelope;A building envelope is a building part composed of those building parts which physically separate the interior of a building from its surrounding environment. The building envelope provides resistance to air, water, heat, light, and noise transfer. The three basic elements of a building envelope are a weather barrier, air barrier, and thermal barrier.
material entity;dry river valley;A dry stream valley which was formed as a result of erosion due to river formation and flow.
material entity;ceiling;
material entity;building roof;A roof is the covering on the uppermost part of a building which provides protection from animals and weather, notably rain, but also heat, wind and sunlight. A roof is also the framing or structure which supports the covering
material entity;thatch;Thatch is material composed of dry vegetation such as straw, water reed, sedge (Cladium mariscus), rushes, or heather.
material entity;concrete masonry unit;A concrete masonry unit is a large, rectangular masonry unit primarily composed of concrete.
material entity;marine ecosystem;
material entity;masonry unit;A masonry unit is a solid piece of material, usually with a regular shape, used as a component in the construction of buildings. Masonry units are usually composed of brick, stone, marble, granite, travertine, limestone, cast stone, concrete block, glass block, stucco, tile, or cob.
material entity;aquatic ecosystem;
material entity;concrete;Concrete is a composite material composed of an aggregate bonded together with a fluid cement which hardens over time.
material entity;asphalt concrete;Asphaltic concrete is a concrete which uses refined asphalt as a cement.
material entity;freshwater ecosystem;
disposition;environmental disposition;A disposition which is realised by an environmental system or system parts thereof.
material entity;compound astronomical body part;A part of an astronomical body which is composed of a continuous medium bearing liquid, gaseous, and solid material in variable quantities.
disposition;carbon pooling disposition;The disposition of an environmental system to sequester and store carbon.
material entity;liquid surface of an astronomical body;A surface of an astronomical body which is part of a water body present on that body.
disposition;carbon dioxide pooling disposition;The disposition of an environment to sequester carbon dioxide, subsequently storing the carbon component thereof.
material entity;inland sea;A sea which shalowly covers central areas of continents during periods of high sea level that result in marine transgressions.
disposition;material pooling disposition;The disposition of an environmental system to sequester and store some material entity.
material entity;land;A surface layer of an astronomical body which is primarily composed of solid material and is not covered by oceans or other bodies of water.
material entity;mediterranean forest;A forest ecosystem which includes communities adapted to 1) hot to warm, dry summers, 2) mild to cold, rainy winters, and 3) the influence of large, usually marine, bodies of water.
material entity;asphalt;Asphalt also known as bitumen is a sticky, black, and highly viscous liquid or semi-solid form of petroleum.
material entity;terrestrial ecosystem;An ecosystem which primarily occurs on land.
material entity;refined asphalt;Refined asphalt is a sticky, black, and highly viscous liquid or semi-solid with a boiling point above 500 degrees Celsius, obtained from the fractional distillation of crude oil.
material entity;subtropical broadleaf forest;A broadleaf forest which is subject to subtropical climate conditions.
material entity;masonry cement;Masonry cement is a substance used in construction that has the disposition to set and harden and thus may be used to bind materials together.
material entity;tropical broadleaf forest;A broadleaf forest which is subject to tropical climate conditions.
quality;concentration of potassium molecular entity in soil;The concentration of potassium molecular entity when measured in soil.
quality;concentration of manganese molecular entity in soil;The concentration of manganese molecular entity when measured in soil.
quality;concentration of iron molecular entity in soil;The concentration of iron molecular entity when measured in soil.
quality;concentration of aluminium molecular entity in soil;The concentration of aluminium molecular entity when measured in soil.
quality;concentration of magnesium molecular entity in soil;The concentration of magnesium molecular entity when measured in soil.
quality;concentration of sodium molecular entity in soil;The concentration of sodium molecular entity when measured in soil.
quality;concentration of organic nitrogen anion in soil;The concentration of organic nitrogen anion when measured in soil.
quality;concentration of organophosphorus compound in soil;The concentration of organophosphorus compound when measured in soil.
quality;concentration of phosphorus molecular entity in soil;The concentration of phosphorus molecular entity when measured in soil.
quality;concentration of oxygen in soil;The concentration of oxygen when measured in soil.
quality;concentration of yttrium in snow;The concentration of yttrium when measured in snow.
quality;concentration of urea in liquid water;The concentration of urea when measured in liquid water.
quality;concentration of neodymium in snow;The concentration of neodymium when measured in snow.
quality;concentration of niobium in snow;The concentration of niobium when measured in snow.
quality;concentration of praseodymium in snow;The concentration of praseodymium when measured in snow.
quality;concentration of samarium in snow;The concentration of samarium when measured in snow.
quality;concentration of silver in snow;The concentration of silver when measured in snow.
quality;concentration of thallium in snow;The concentration of thallium when measured in snow.
quality;concentration of tin in snow;The concentration of tin when measured in snow.
quality;concentration of titanium in snow;The concentration of titanium when measured in snow.
quality;concentration of lithium in snow;The concentration of lithium when measured in snow.
quality;concentration of methanesulfonic acid in snow;The concentration of methanesulfonic acid when measured in snow.
quality;concentration of molybdenum in snow;The concentration of molybdenum when measured in snow.
quality;concentration of bromine in snow;The concentration of bromine when measured in snow.
quality;concentration of cerium in snow;The concentration of cerium when measured in snow.
quality;concentration of cobalt in snow;The concentration of cobalt when measured in snow.
quality;concentration of dysprosium in snow;The concentration of dysprosium when measured in snow.
quality;concentration of europium in snow;The concentration of europium when measured in snow.
quality;concentration of gadolinium in snow;The concentration of gadolinium when measured in snow.
quality;concentration of lanthanum in snow;The concentration of lanthanum when measured in snow.
quality;concentration of thallium in water ice;The concentration of thallium when measured in water ice.
quality;concentration of tin in water ice;The concentration of tin when measured in water ice.
quality;concentration of titanium in water ice;The concentration of titanium when measured in water ice.
quality;concentration of yttrium in water ice;The concentration of yttrium when measured in water ice.
quality;concentration of molybdenum in water ice;The concentration of molybdenum when measured in water ice.
quality;concentration of neodymium in water ice;The concentration of neodymium when measured in water ice.
quality;concentration of niobium in water ice;The concentration of niobium when measured in water ice.
quality;concentration of praseodymium in water ice;The concentration of praseodymium when measured in water ice.
quality;concentration of samarium in water ice;The concentration of samarium when measured in water ice.
quality;concentration of silver in water ice;The concentration of silver when measured in water ice.
process;material warming process;A process during which the temperature of a portion of environmental material is increased, along with the kinetic energy of its constituent molecules.
quality;concentration of europium in water ice;The concentration of europium when measured in water ice.
process;thawing process;A warming process during which the thermal energy in a portion of environmental material is sufficient to melt water-based ice or snow.
quality;concentration of gadolinium in water ice;The concentration of gadolinium when measured in water ice.
material entity;ice-bearing permafrost;Permafrost which contains inclusions of water-based ice.
process;island formation process;A process which results in the formation of an island.
quality;concentration of lanthanum in water ice;The concentration of lanthanum when measured in water ice.
process;permafrost thawing process;A thawing process during which permafrost is warmed beyond the melting point of water-based ice, snow, or other forms of solid water.
material entity;microcontinental island;An island created when a continent is rifted.
quality;concentration of lithium in water ice;The concentration of lithium when measured in water ice.
quality;concentration of methanesulfonic acid in water ice;The concentration of methanesulfonic acid when measured in water ice.
material entity;active layer in a cryosphere;A layer of environmental material which is subject to freeze-thaw cycles.
process;snow and ice accumulation process;A material accumulation process during which a accumulation of snow and ice forms or increases in mass.
quality;concentration of yttrium in lake water;The concentration of yttrium when measured in lake water.
material entity;bare soil;Soil which is directly exposed to the atmosphere - with no intervening layer of plant life or other cover - and thus the effects of weathering and erosion.
quality;concentration of bromine in water ice;The concentration of bromine when measured in water ice.
process;material cooling process;A process during which the temperature of a portion of environmental material is decreased, along with the kinetic energy of its constituent molecules.
quality;concentration of cerium in water ice;The concentration of cerium when measured in water ice.
process;ice accumulation process;A material accumulation process during which ice forms in an environmental material or an existing accumulation of ice increases in mass.
quality;concentration of cobalt in water ice;The concentration of cobalt when measured in water ice.
process;snow accumulation process;A material accumulation process during which the mass of snow on a surface increases.
quality;concentration of dysprosium in water ice;The concentration of dysprosium when measured in water ice.
material entity;depositional island;An island formed by deposition of solid material such as sand or small rocks where a water current loses some of its carrying capacity.
material entity;barrier island;An island formed by the accumulation of sand deposited by sea currents on a continental shelves
quality;concentration of praseodymium in lake water;The concentration of praseodymium when measured in lake water.
quality;concentration of samarium in lake water;The concentration of samarium when measured in lake water.
quality;concentration of silver in lake water;The concentration of silver when measured in lake water.
quality;concentration of thallium in lake water;The concentration of thallium when measured in lake water.
quality;concentration of tin in lake water;The concentration of tin when measured in lake water.
quality;concentration of titanium in lake water;The concentration of titanium when measured in lake water.
material entity;cryospheric layer;A layer which is part of a cryosphere.
material entity;kerosene oil;A fuel oil which 1) is derived from petroleum oil, 2) has a strong odor, 3) produces large quantities of soot relative to other fuel oils, 4) is less refined than fuel oils such as paraffin.
quality;concentration of methanesulfonic acid in lake water;The concentration of methanesulfonic acid when measured in lake water.
quality;concentration of molybdenum in lake water;The concentration of molybdenum when measured in lake water.
material entity;water current;A hydroform which is maintained by a continuous, directed movement of water, generated by disequilibria in a water mass.
quality;concentration of neodymium in lake water;The concentration of neodymium when measured in lake water.
quality;speed of a water current;
quality;concentration of niobium in lake water;The concentration of niobium when measured in lake water.
quality;concentration of cerium in lake water;The concentration of cerium when measured in lake water.
quality;concentration of cobalt in lake water;The concentration of cobalt when measured in lake water.
quality;concentration of dysprosium in lake water;The concentration of dysprosium when measured in lake water.
quality;concentration of europium in lake water;The concentration of europium when measured in lake water.
quality;concentration of gadolinium in lake water;The concentration of gadolinium when measured in lake water.
quality;concentration of lanthanum in lake water;The concentration of lanthanum when measured in lake water.
quality;concentration of lithium in lake water;The concentration of lithium when measured in lake water.
quality;concentration of bromine in lake water;The concentration of bromine when measured in lake water.
material entity;marine mucilage;A gelatinous material primarily composed of exopolymeric compounds with colloidal properties, formed through the aggregation of marine snow particles, often found in large sheets, flocs, and clouds.
process;exudation of carbohydrates;A process in which carbohydrates are transported from the interior of an organism to its surroundings.
process;drought;A hydrological precipitation process with a reduced rate relative to some historical average, typically resulting in ecosystemic perturbations.
quality;concentration of tetraphosphorus decaoxide in soil;The concentration of tetraphosphorus decaoxide when measured in soil.
quality;concentration of sulfate in soil;The concentration of sulfate when measured in soil.
quality;concentration of exchangeable potassium in soil;The concentration of exchangeable potassium when measured in soil.
quality;concentration of residual water in soil;The concentration of residual water when measured in soil.
quality;concentration of exchangeable calcium in soil;The concentration of exchangeable calcium when measured in soil.
quality;concentration of calcium carbonate in soil;The concentration of calcium carbonate when measured in soil.
quality;concentration of organic molecular entity in soil;The concentration of organic molecular entity when measured in soil.
process;precipitation of sleet;A hydrological precipitation process during which water falls in both liquid and frozen form.
object;sleet pellet;An ice mass which is primarily composed of frozen or mostly frozen raindrops or refrozen partially melted snowflakes.
fiat object;area of ice cover;An environmental zone which is covered or partially covered by ice.
quality;depth of water ice;The depth of some water ice.
material entity;temperate broadleaf evergreen forest;A broadleaf evergreen forest which is subject to temperate climate patterns.
material entity;temperate freshwater swamp forest;A freshwater swamp forest which is subject to temperate climate patterns.
material entity;tropical needleleaf forest;A needleleaf forest which is subject to tropical climate patterns.
material entity;temperate deciduous needleleaf forest;A deciduous needleleaf forest which is subject to temperate climate patterns.
material entity;tropical deciduous broadleaf forest;A deciduous broadleaf forest which is subject to tropical climate patterns.
material entity;tropical semi-deciduous broadleaf forest;A semi-deciduous broadleaf forest which is subject to tropical climate patterns.
material entity;temperate mixed broadleaf forest;A temperate mixed forest which has communities of trees composed primarily of species with broad leaves.
material entity;agricultural environmental material;
material entity;tropical lower montane forest;A montane forest which is located in a region subject to tropical climate patterns modulated by sufficient elevation to encounter lower montane climatic patterns.
material entity;tropical freshwater swamp forest;A freshwater swamp forest which is subject to tropical climate patterns.
material entity;temperate sclerophyllous dry forest;A sclerophyllous forest which is subject to temperate climate patterns.
material entity;tropical sclerophyllous dry forest;A sclerophyllous forest which is subject to tropical climate patterns.
material entity;anthropogenic environmental material;Anthropogenic material in or on which organisms may live.
material entity;temperate mixed needleleaf forest;A temperate mixed forest which has communities of trees composed primarily of species with needle-like leaves (e.g. conifers).
material entity;tropical semi-evergreen moist broadleaf forest;
material entity;tropical upper montane forest;A montane forest which is located in a region subject to tropical climate patterns modulated by sufficient elevation to encounter upper montane climate patterns.
quality;highland subtropical;A highland subtropical condition is a subtropical condition in which increased elevation results in mild summers, cooler winters, and, in some instances, snowfall associated with montly temperature averages below 22 but above -3 degrees Celsius.
quality;tropical marine condition;A tropical marine condition is a tropical condition in which the ocean strongly influences the climate and a wet and dry season occur.
material entity;tropical marine semi-evergreen forest;A semi-evergreen forest is a forest which undergoes a long dry season and, as a consequence, has a two-storey layer structure, a dry canopy, a leaf litter layer that only decays during moist periods trees with very small leaves or which shed their leaves to conserve water and which flower during the dry season and grow during the wet season.
quality;humid subtropical;A humid subtropical condition is a subtropical condition in which an environmental system has hot, humid summers, warm to cool dry winters, and average annual precipitation either evenly distributed throughout the year or marked by a dry season or drying trend during winter
quality;arid subtropical;An arid subtropical condition is a subtropical condition in which an environmental system has an annual average temperature near 18.2 degrees Celsius with their coldest month averaging between 2 and 13 degrees Celsius, the absence of regular rainfall, and high humidity.
fiat object;cold desert;A cold desert is a desert which has hot summers and cold, dry winters with temperatures below 0 degrees Celsius
material entity;temperate evergreen needleleaf forest;An evergreen needleleaf forest which is subject to temperate climate patterns.
material entity;tropical lowland evergreen broadleaf rain forest;A broadleaf forest which is subject to tropical climate patterns with high rainfall, is located in a lowland area, and is dominated by plants which retain their leaves throughout the year.
material entity;temperate deciduous broadleaf forest;A deciduous broadleaf forest which is subject to temperate climate patterns.
quality;oceanic temperate;An oceanic temperate condition is a temperate condition which is strongly influenced by oceans and oceanic winds. Summers are cool and winters are cool, but not cold, and there is little frozen precipitation at lower elevations.
quality;continental temperate;A continental temperate condition is a temperate condition which is influenced by large land masses. Summers are warm to hot and winters are often long, cold, and snowy.
material entity;food processing building;A food processing building is a building in which materials that contain or consist of essential body nutrients - such as carbohydrates, fats, proteins, vitamins, or minerals - and may be ingested and assimilated by an organism to produce energy, stimulate growth, and maintain life are converted alternative forms.
material entity;planetary surface;A planetary surface is a surface layer where the solid or liquid material of a planet comes into contact with an atmosphere or outer space.
process;glacial retreat;A glacial ice loss process during which the snout (toe) of a glacier shrinks following successive years of negative mass balance.
material entity;bakery;A bakery is a building in which raw flour-based food is baked in an oven to produce food products such as bread, cakes, pastries, and pies. These products are often sold from the bakery itself.
material entity;aquatic layer;A layer in a water mass, itself composed primarily of water.
process;glacial process;An environmental process which involves glaciers or ice sheets.
material entity;deep chlorophyll maximum layer;A subsurface layer in a water body, typically an ocean or lake, in which chlorophyll concentrations reach their maximum.
process;calving of ice into water;An ice calving process during which a mass of ice falls from a larger mass into a body of water.
material entity;strand swamp;A strand swamp is a swamp that forms linear drainage channels on flatlands.
process;calving of ice onto land;An ice calving process during which a mass of ice falls from a larger mass onto land.
material entity;marine environment;A marine environment and enviroment which is determined by a marine water body.
material entity;atmospheric aerosol;An aerosol that is suspended in an atmosphere.
material entity;sea water environment;An environmental system determined by seawater.
material entity;particulate matter in a hydrosphere;Waterborne particulate matter which is part of a hydrosphere.
material entity;straw;An agricultural byproduct, the dry stalk of a cereal plant, after the nutrient grain or seed has been removed.
material entity;brackish water environment;An environment determined by the presence of brackish water.
process;aerosol formation process;A material transformation process during which solid or liquid particles form and are suspended in a mass of air, thus creating an aerosol.
material entity;atmospheric boundary layer;The atmospheric boundary layer is the lowest layer of an atmosphere which is strongly influenced by its contact with a planetary surface with strong vertical mixing and in which physical quantities such as flow velocity, temperature, and moisture display rapid fluctuations (turbulence).
material entity;well-mixed estuary;An estuary in which mixing by tidal forcing exceeds the force of riverine output, resulting in thorough homogenisation of the estuary's water column and the disappearance of a vertical salinity gradient and the freshwater-seawater boundary.
material entity;dome swamp;A dome swamp is a swamp which occurs in a depression where deeper waters at the centre of the swamp allow trees to grow taller relative to those in shallower regions of the depression. This creates a dome-like shape.
material entity;cypress dome;A cypress dome swamp is a dome swamp which has a plant community dominated by Cupressaceae, often swamp cypresses. Swamp cypresses typically belong to the genus Taxodium or the species Glyptostrobus pensilis and Actinostrobus pyramidalis.
process;periglacial process;A frost action process which occurs in cold environments which are not part of a glacier.
process;frost jacking;A frost action process during which objects embedded in the ground are cumulatively displaced upwards.
material entity;cypress strand swamp;A cypress strand swamp is a strand swamp which has a plant community dominated by Cupressaceae, often swamp cypresses. Swamp cypresses typically belong to the genus Taxodium or the species Glyptostrobus pensilis and Actinostrobus pyramidalis.
process;frost action process;A material transport process during which alternate freezing and thawing of moisture in soil, rock and other materials results modifications of those materials and in the formation of structures on, or in, the ground.
material entity;rice straw;
material entity;anthropogenic environment;An anthropogenic environment is an environmental system which is the product of human activity.
material entity;gaseous part of an atmosphere;That part of an atmosphere which is composed of gaseous material.
material entity;high osmolarity environment;A high osmolarity environment is an environment in which entities are exposed to high concentrations of solutes.
material entity;material primarily composed of biogenic carbonates;
material entity;acidic environment;An acidic environment is an environment in which material entities are exposed to a low pH.
material entity;colloid suspended in a hydrosphere;A colloidal suspension which is dispersed through a part of a hydrosphere.
material entity;alkaline environment;An alkaline environment is an environment in which entities are exposed to high pH, typically greater than a pH of 9.
material entity;amorphous solid;A solid material which does not have a regularly organised internal structure.
one-dimensional temporal region;glaciation;An interval of time within an ice age and during which temperatures fall resulting in planet-wide glacier advances.
